## opening file [/atlas/dq2/rucio/group/det-indet/20/22/group.det-indet.8685043.EXT0._000032.InDetDxAOD.pool.root]...
## importing ROOT...
## importing ROOT... [DONE]
## opening file [OK]
File:/atlas/dq2/rucio/group/det-indet/20/22/group.det-indet.8685043.EXT0._000032.InDetDxAOD.pool.root
Size:    79893.689 kb
Nbr Events: 100

================================================================================
     Mem Size       Disk Size        Size/Evt      MissZip/Mem  items  (X) Container Name (X=Tree|Branch)
       2.956 kb        1.520 kb        0.015 kb        0.000      100  (B) MuonsAuxDyn.outerClosePrecisionHits
       3.307 kb        1.530 kb        0.015 kb        0.000      100  (B) ElectronsAuxDyn.isEMLHTight
       3.085 kb        1.531 kb        0.015 kb        0.000      100  (B) MuonsAuxDyn.combinedTrackOutBoundsPrecisionHits
       3.317 kb        1.536 kb        0.015 kb        0.000      100  (B) ElectronsAuxDyn.isEMLHMedium
       3.403 kb        1.546 kb        0.015 kb        0.000      100  (B) ElectronsAuxDyn.neflowisolCorrBitset
       3.403 kb        1.546 kb        0.015 kb        0.000      100  (B) ElectronsAuxDyn.topoetconeCorrBitset
       2.967 kb        1.559 kb        0.016 kb        0.000      100  (B) MuonsAuxDyn.middleClosePrecisionHits
       2.956 kb        1.574 kb        0.016 kb        0.000      100  (B) MuonsAuxDyn.innerClosePrecisionHits
       2.999 kb        1.575 kb        0.016 kb        0.000      100  (B) MuonsAuxDyn.numberOfGoodPrecisionLayers
       2.990 kb        1.599 kb        0.016 kb        0.000      100  (B) TruthEventsAuxDyn.Q
       3.274 kb        1.613 kb        0.016 kb        0.000      100  (B) ElectronsAuxDyn.ptcone20
       3.307 kb        1.634 kb        0.016 kb        0.000      100  (B) ElectronsAuxDyn.ptvarcone20
       4.480 kb        1.650 kb        0.017 kb        0.000      100  (B) AntiKt4EMTopoJetsAuxDyn.Dip13
       4.480 kb        1.650 kb        0.017 kb        0.000      100  (B) AntiKt4EMTopoJetsAuxDyn.Dip23
       3.012 kb        1.655 kb        0.017 kb        0.000      100  (B) TruthEventsAuxDyn.XF2
       3.274 kb        1.660 kb        0.017 kb        0.000      100  (B) ElectronsAuxDyn.ptcone30
